program_name,category,credits_required,requirement_type,semester,year,is_curent,group_name,courses_required,credits_required_group,course_option,institution,is_preferred,description,group_description,option_notes,
BS Biological Sciences,Humanities,9,grouped,Fall,2025,TRUE,Literature & Arts,2,6,ENGL 212,University of New Orleans,FALSE,Liberal arts breadth requirement,Choose 2 from literature and arts,American Literature II,
BS Biological Sciences,Humanities,9,grouped,Fall,2025,TRUE,Literature & Arts,2,6,ENGL 222,University of New Orleans,FALSE,Liberal arts breadth requirement,Choose 2 from literature and arts,World Literature,
BS Biological Sciences,Humanities,9,grouped,Fall,2025,TRUE,Literature & Arts,2,6,ENGL 235,University of New Orleans,FALSE,Liberal arts breadth requirement,Choose 2 from literature and arts,Creative Writing,
BS Biological Sciences,Humanities,9,grouped,Fall,2025,TRUE,Literature & Arts,2,6,MUS 1000,University of New Orleans,FALSE,Liberal arts breadth requirement,Choose 2 from literature and arts,Music Appreciation,
BS Biological Sciences,Humanities,9,grouped,Fall,2025,TRUE,Literature & Arts,2,6,FTA 1000,University of New Orleans,FALSE,Liberal arts breadth requirement,Choose 2 from literature and arts,Introduction to Theatre,
BS Biological Sciences,Humanities,9,grouped,Fall,2025,TRUE,Communication,1,3,CMST 130,University of New Orleans,TRUE,Liberal arts breadth requirement,Choose 1 communication course,Fundamentals of Communication,
BS Biological Sciences,Humanities,9,grouped,Fall,2025,TRUE,Communication,1,3,CMST 230,University of New Orleans,FALSE,Liberal arts breadth requirement,Choose 1 communication course,Public Speaking,
BS Biological Sciences,Humanities,9,grouped,Fall,2025,TRUE,Communication,1,3,ENGL 207,University of New Orleans,FALSE,Liberal arts breadth requirement,Choose 1 communication course,Technical Writing,
BS Biological Sciences,Social Sciences,6,simple,Fall,2025,TRUE,,0,0,NAN,University of New Orleans,,Social and behavioral sciences requirement,,,
BS Biological Sciences,Free Electives,12,simple,Fall,2025,TRUE,,0,0,NAN,University of New Orleans,,Additional coursework to reach 120 credits,,,
AS Transfer Degree,English Composition,6,grouped,Fall,2025,TRUE,Composition Requirements,2,6,ENGL 101,Delgado Community College,TRUE,Written communication foundation,Complete composition sequence,English Composition I,
AS Transfer Degree,English Composition,6,grouped,Fall,2025,TRUE,Composition Requirements,2,6,ENGL 102,Delgado Community College,TRUE,Written communication foundation,Complete composition sequence,English Composition II,
AS Transfer Degree,English Composition,6,grouped,Fall,2025,TRUE,Alternative Composition,1,3,ENGL 110,Delgado Community College,FALSE,Written communication foundation,Alternative composition option,Business Writing alternative,
AS Transfer Degree,Mathematics,6,grouped,Fall,2025,TRUE,Math Foundation,2,6,MATH 130,Delgado Community College,TRUE,Mathematical reasoning requirement,Complete math sequence,College Algebra required,
AS Transfer Degree,Mathematics,6,grouped,Fall,2025,TRUE,Math Foundation,2,6,MATH 131,Delgado Community College,TRUE,Mathematical reasoning requirement,Complete math sequence,Trigonometry required,
AS Transfer Degree,Mathematics,6,grouped,Fall,2025,TRUE,Advanced Math,1,4,MATH 203,Delgado Community College,FALSE,Mathematical reasoning requirement,Choose advanced math,Calculus I option,
AS Transfer Degree,Natural Sciences,12,grouped,Fall,2025,TRUE,Biology Sequence,2,8,BIOL 141,Delgado Community College,TRUE,Science foundation with labs,Complete biology sequence,General Biology I with lab,
AS Transfer Degree,Natural Sciences,12,grouped,Fall,2025,TRUE,Biology Sequence,2,8,BIOL 142,Delgado Community College,TRUE,Science foundation with labs,Complete biology sequence,General Biology II with lab,
AS Transfer Degree,Natural Sciences,12,grouped,Fall,2025,TRUE,Chemistry Option,2,8,CHEM 141,Delgado Community College,FALSE,Science foundation with labs,Chemistry sequence alternative,General Chemistry I,
AS Transfer Degree,Natural Sciences,12,grouped,Fall,2025,TRUE,Chemistry Option,2,8,CHEM 142,Delgado Community College,FALSE,Science foundation with labs,Chemistry sequence alternative,General Chemistry II,
AS Transfer Degree,Natural Sciences,12,grouped,Fall,2025,TRUE,Physics Option,2,8,PHYS 141,Delgado Community College,FALSE,Science foundation with labs,Physics sequence alternative,General Physics I,
AS Transfer Degree,Natural Sciences,12,grouped,Fall,2025,TRUE,Physics Option,2,8,PHYS 142,Delgado Community College,FALSE,Science foundation with labs,Physics sequence alternative,General Physics II,
AS Transfer Degree,Humanities,9,grouped,Fall,2025,TRUE,Literature Options,2,6,ENGL 2031,Delgado Community College,FALSE,Cultural and artistic understanding,Choose 2 literature courses,American Literature I,
AS Transfer Degree,Humanities,9,grouped,Fall,2025,TRUE,Literature Options,2,6,ENGL 2032,Delgado Community College,FALSE,Cultural and artistic understanding,Choose 2 literature courses,American Literature II,
AS Transfer Degree,Humanities,9,grouped,Fall,2025,TRUE,Literature Options,2,6,ENGL 2208,Delgado Community College,FALSE,Cultural and artistic understanding,Choose 2 literature courses,World Literature I,
AS Transfer Degree,Humanities,9,grouped,Fall,2025,TRUE,Literature Options,2,6,ENGL 2228,Delgado Community College,FALSE,Cultural and artistic understanding,Choose 2 literature courses,World Literature II,
AS Transfer Degree,Humanities,9,grouped,Fall,2025,TRUE,Creative Arts,1,3,ENGL 2238,Delgado Community College,FALSE,Cultural and artistic understanding,Choose 1 creative arts,Creative Writing,
AS Transfer Degree,Humanities,9,grouped,Fall,2025,TRUE,Creative Arts,1,3,MUSC 105,Delgado Community College,FALSE,Cultural and artistic understanding,Choose 1 creative arts,Music Appreciation,
AS Transfer Degree,Humanities,9,grouped,Fall,2025,TRUE,Creative Arts,1,3,THEA 101,Delgado Community College,FALSE,Cultural and artistic understanding,Choose 1 creative arts,Introduction to Theatre,
AS Transfer Degree,Social Sciences,6,simple,Fall,2025,TRUE,,0,0,NAN,Delgado Community College,,Social and behavioral sciences requirement,,,
AS Transfer Degree,Free Electives,15,simple,Fall,2025,TRUE,,0,0,NAN,Delgado Community College,,Additional coursework to complete degree,,,
