program_name,category,requirement_type,semester,year,is_current,group_name,course_code,institution,is_preferred,constraint_type,description,min_credits,max_credits,min_level,min_courses,max_courses,tag,tag_value,scope_subject_codes
Transfer Degree A.S - Bio Concentration,Fine Arts,simple,Fall,2025,TRUE,Fine Arts Group 1,THEA 207,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Fine Arts,simple,Fall,2025,TRUE,Fine Arts Group 1,THEA 209,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 1,ENGL 205,Delgado Community College,,level,,3,,2000,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 1,ENGL 206,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 1,ENGL 206,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 1,ENGL 211,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 1,ENGL 212,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 1,ENGL 221,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 1,ENGL 222,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 1,ENGL 231,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 1,ENGL 232,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 1,ENGL 243,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 1,ENGL 244,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 1,ENGL 244,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 1,ENGL 253,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ARCH 180,Delgado Community College,,credits,,6,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ASLS 101,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,CMST 130,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,CMST 230,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ENGL 207,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ENGL 211,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ENGL 212,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ENGL 221,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ENGL 222,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ENGL 235,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ENGL 240,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ENGL 241,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ENGL 243,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ENGL 244,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ENGL 245,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,ENGL 253,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,FREN 101,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,FREN 102,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,FREN 125,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,FREN 201,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,FREN 202,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,FREN 225,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HIST 101,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HIST 102,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HIST 103,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HIST 105,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HIST 141,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HIST 205,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HIST 206,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HIST 240,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HIST 241,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HIST 242,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HIST 260,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HUMA 105,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HUMA 150,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HUMA 150,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HUMA 211,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HUMA 212,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HUMA 220,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,HUMA 260,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,PHIL 101,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,PHIL 175,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,SPAN 101,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,SPAN 102,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,SPAN 201,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,SPAN 202,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Humanities,grouped,Fall,2025,TRUE,Humanities Group 2,SPAN 204,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,ANTH 160,Delgado Community College,,credits,,6,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,ANTH 165,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,ANTH 181,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,ANTH 181,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,ANTH 200,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,ANTH 205,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,ECON 201,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,ECON 202,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,POLI 180,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,PSYC 112,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,PSYC 127,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,PSYC 217,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,PSYC 225,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,PSYC 226,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,PSYC 235,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,PSYC 240,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,PSYC 245,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,SOCI 151,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,SOCI 155,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,SOCI 250,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,SOCI 255,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,simple,Fall,2025,TRUE,S/B Group 1,SOCI 257,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Required,BIOL 141,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Recommended,CHEM 142,Delgado Community College,TRUE,credits,,18,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Recommended,CHEM 144,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Recommended,CHEM 221,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Recommended,CHEM 223,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Recommended,CHEM 222,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Recommended,CHEM 224,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Recommended,PHYS 141,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Recommended,PHYS 221,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Recommended,PHYS 142,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Required,BIOL 143,Delgado Community College,TRUE,credits,,12,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Required,BIOL 142,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Required,BIOL 144,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Required,CHEM 141,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,simple,Fall,2025,TRUE,Bio Required,CHEM 143,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,simple,Fall,2025,TRUE,Bio Elective,BIOL 211,Delgado Community College,,credits,,9,,,,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,simple,Fall,2025,TRUE,Bio Elective,BIOL 210,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,simple,Fall,2025,TRUE,Bio Elective,BIOL 212,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,simple,Fall,2025,TRUE,Bio Elective,BIOL 265,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,simple,Fall,2025,TRUE,Bio Elective,BIOL 266,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,simple,Fall,2025,TRUE,Bio Elective,BIOL 251,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,simple,Fall,2025,TRUE,Bio Elective,BIOL 252,Delgado Community College,,,,,,,,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,simple,Fall,2025,TRUE,Bio Elective,BIOL 114,Delgado Community College,,,,,,,,,,,
