code,title,description,credits,institution,department,prerequisites
HUMA 220,MODERNISM IN THE ARTS,,3,Delgado Community College,HUMA,
HUMA 260,ACTIVISM AND CHANGE,,3,Delgado Community College,HUMA,
PHIL 101,INTRODUCTION TO PHILOSOPHY,,3,Delgado Community College,PHIL,
PHIL 1000,INTRODUCTION TO PHILOSOPHY,,3,University of New Orleans,PHIL,
PHIL 175,SOCIAL ETHICS,,3,Delgado Community College,PHIL,
PHIL 1200,SOCIAL ETHICS,,3,University of New Orleans,PHIL,
SPAN 101,ELEMENTARY SPANISH I,,3,Delgado Community College,SPAN,
SPAN 1001,BASIC SPANISH I,,3,University of New Orleans,SPAN,
SPAN 102,ELEMENTARY SPANISH II,,3,Delgado Community College,SPAN,
SPAN 1002,BASIC SPANISH II,,3,University of New Orleans,SPAN,
SPAN 201,INTERMEDIATE SPANISH I,,3,Delgado Community College,SPAN,
SPAN 2001,INTERMEDIATE SPANISH I,,3,University of New Orleans,SPAN,
SPAN 202,INTERMEDIATE SPANISH II,,3,Delgado Community College,SPAN,
SPAN 2002,INTERMEDIATE SPANISH II,,3,University of New Orleans,SPAN,
SPAN 204,CIVILIZATION AND CULTURES OF HISPANOAMERICA,,3,Delgado Community College,SPAN,
ANTH 160,CULTURAL ANTHROPOLOGY,,3,Delgado Community College,ANTH,
ANTH 2052,CULTURAL ANTHROPOLOGY,,3,University of New Orleans,ANTH,
ANTH 165,PHYSICAL ANTHROPOLOGY,,3,Delgado Community College,ANTH,
ANTH 2051,HUMAN ORIGINS,,3,University of New Orleans,ANTH,
ANTH 181,GEOGRAPHY,,3,Delgado Community College,ANTH,
GEOG 1001,WORLD REGIONAL GEOGRAPHY,,3,University of New Orleans,GEOG,
ANTH 200,MUSIC AS CULTURE,,3,Delgado Community College,ANTH,
ANTH 205,PHYSICAL GEOGRAPHY,,3,Delgado Community College,ANTH,
GEOG 2151,ELEMENTS OF PHYSICAL GEOGRAPHY,,3,University of New Orleans,GEOG,
ECON 201,MACROECONOMICS,,3,Delgado Community College,ECON,
ECON 1204,PRINCIPLES OF MACROECONOMICS,,3,University of New Orleans,ECON,
ECON 202,MICROECONOMICS,,3,Delgado Community College,ECON,
ECON 1203,PRINCIPLES OF MICROECONOMICS,,3,University of New Orleans,ECON,
POLI 180,AMERICAN GOVERNMENT,,3,Delgado Community College,POLI,
POLI 2151,AMERICAN GOVERNMENT,,3,University of New Orleans,POLI,
PSYC 112,HUMAN SEXUALITY,,3,Delgado Community College,PSYC,
PSYC 1520,HUMAN SEXUAL BEHAVIOR,,3,University of New Orleans,PSYC,
PSYC 127,GENERAL PSYCHOLOGY,,3,Delgado Community College,PSYC,
PSYC 1000,GENERAL PSYCHOLOGY,,3,University of New Orleans,PSYC,
PSYC 217,PSYCHOLOGY OF ADJUSTMENT,,3,Delgado Community College,PSYC,
PSYC 1500,THE PSYCHOLOGY OF PERSONAL ADJUSTMENT,,3,University of New Orleans,PSYC,
PSYC 225,CHILD PSYCHOLOGY,,3,Delgado Community College,PSYC,
PSYC 2110,CHILD PSYCHOLOGY,,3,University of New Orleans,PSYC,
PSYC 226,HUMAN GROWTH AND DEVELOPMENT,,3,Delgado Community College,PSYC,
PSYC 2100,FOUNDATIONS OF DEVELOPMENTAL PSYCHOLOGY,,3,University of New Orleans,PSYC,
PSYC 235,EDUCATIONAL PSYCHOLOGY,,3,Delgado Community College,PSYC,
PSYC 2200,EDUCATIONAL PSYCHOLOGY,,3,University of New Orleans,PSYC,
PSYC 240,ABNORMAL PSYCHOLOGY,,3,Delgado Community College,PSYC,
PSYC 245,SOCIAL PSYCHOLOGY,,3,Delgado Community College,PSYC,
PSYC 2400,SOCIAL PSYCHOLOGY,,3,University of New Orleans,PSYC,
SOCI 151,INTRODUCTORY SOCIOLOGY,,3,Delgado Community College,SOCI,
SOC 1051,INTRODUCTORY SOCIOLOGY,,3,University of New Orleans,SOC,
SOCI 153,INTRODUCTION TO SOCIAL WELFARE,,3,Delgado Community College,SOCI,
SOCI 250,STUDIES IN CULTURAL DIVERSITY,,3,Delgado Community College,SOCI,
1000NE,NO Equivalent,,1,University of New Orleans,NE,
SOC 2994,MULTICULTURALISM AND DIVERSITY IN U.S. SOCIETY,,3,University of New Orleans,SOC,
SOCI 255,MARRIAGE AND THE FAMILY,,3,Delgado Community College,SOCI,
SOCI 257,SOCIAL GERONTOLOGY: AGING AND THE LIFE CYCLE,,3,Delgado Community College,SOCI,
