program_name,category,credits_required,requirement_type,semester,year,is_current,group_name,courses_required,credits_required_group,course_option,institution,is_preferred,description,group_description,option_notes
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 1,1,3,ENGL 244,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 1,1,3,ENGL 253,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ARCH 180,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ASLS 101,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,CMST 130,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,CMST 230,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ENGL 207,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ENGL 211,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ENGL 212,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ENGL 221,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ENGL 222,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ENGL 235,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ENGL 240,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ENGL 241,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ENGL 243,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ENGL 244,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ENGL 245,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,ENGL 253,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,FREN 101,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,FREN 102,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,FREN 125,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,FREN 201,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,FREN 202,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,FREN 225,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HIST 101,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HIST 102,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HIST 103,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HIST 105,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HIST 141,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HIST 205,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HIST 206,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HIST 240,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HIST 241,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HIST 242,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HIST 260,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HUMA 105,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HUMA 150,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HUMA 150,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HUMA 211,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HUMA 212,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HUMA 220,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,HUMA 260,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,PHIL 101,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,PHIL 175,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,SPAN 101,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,SPAN 102,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,SPAN 201,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,SPAN 202,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Humanities,9,grouped,Fall,2025,TRUE,Humanities Group 2,2,6,SPAN 204,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,ANTH 160,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,ANTH 165,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,ANTH 181,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,ANTH 181,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,ANTH 200,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,ANTH 205,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,ECON 201,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,ECON 202,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,POLI 180,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,PSYC 112,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,PSYC 127,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,PSYC 217,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,PSYC 225,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,PSYC 226,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,PSYC 235,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,PSYC 240,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,PSYC 245,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,SOCI 151,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,SOCI 155,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,SOCI 250,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,SOCI 255,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Social/Behavioral Sciences,6,simple,Fall,2025,TRUE,S/B Group 1,2,6,SOCI 257,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Required,12,12,BIOL 141,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Recommended,18,18,CHEM 142,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Required,12,12,BIOL 143,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Recommended,18,18,CHEM 144,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Required,12,12,BIOL 142,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Recommended,18,18,CHEM 221,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Required,12,12,BIOL 144,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Recommended,18,18,CHEM 223,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Required,12,12,CHEM 141,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Recommended,18,18,CHEM 222,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Required,12,12,CHEM 143,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Recommended,18,18,CHEM 224,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Recommended,18,18,PHYS 141,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Recommended,18,18,PHYS 221,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biological Sciences Major Reqs,30,simple,Fall,2025,TRUE,Bio Recommended,18,18,PHYS 142,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,1,simple,Fall,2025,TRUE,Bio Elective,1,1,BIOL 211,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,1,simple,Fall,2025,TRUE,Bio Elective,1,1,BIOL 210,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,1,simple,Fall,2025,TRUE,Bio Elective,1,1,BIOL 212,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,1,simple,Fall,2025,TRUE,Bio Elective,1,1,BIOL 265,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,1,simple,Fall,2025,TRUE,Bio Elective,1,1,BIOL 266,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,1,simple,Fall,2025,TRUE,Bio Elective,1,1,BIOL 251,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,1,simple,Fall,2025,TRUE,Bio Elective,1,1,BIOL 252,Delgado Community College,,,,
Transfer Degree A.S - Bio Concentration,Biology Electives,1,simple,Fall,2025,TRUE,Bio Elective,1,1,BIOL 114,Delgado Community College,,,,
